Name,TeFo,Te,Req(Te),Fo,Req(Fo),Lvl,R,D,T,Special,Description,Design,Comment,Ref
False Window,CrIm5,Cr,,Im,,5,Touch,Sun,Ind,,"This spell allows the magus to trace the frame of a door or window and create a miniature that seems to show something that lies beyond the frame. A Perception + Finesse roll is required to craft a convincing illusion. The Ease Factor is 9 if the image seems to show a room, 12 if it seems to show a structure, or 15 if it seems to run to the horizon. These numbers already include the reduction for limiting the viewer’s line of sight, but could be reduced or increased by familiarity with the depicted scene.  Many casters of False Window add an additional magnitude, so that figures within the image appear to move, and the pattern of light changes to suit the time of day, but this simpler version creates only a static image. This spell also models similar spells for the other senses: a mirror that plays a tune, provided its face is not turned toward a wall, is an example. Directly created species like these are resisted by the Parma Magica.","Base 2, +2 Sun or Ring, +1 Individual",,[HoH:S:68]
Smoke of Escaping,CrIm5,Cr,,Im,,5,Touch,Diam,Ind,,"Creates the illusion of a thick cloud of red smoke in the caster’s vicinity.","Base 1, +1 Touch, +1 Diameter, +1 size, +1 impenetrable to sight",,[MoH:124]
Clarity of Public Speech,CrIm10,Cr,,Im,,10,Touch,Sun,Room,,,,"After Notes of Delightful Sound, but the focus is on human speech, loud and clear. ",
Book of Images,CrIm15,Cr,,Im,,15,Touch,Ring,Ind,,"This spell creates moving sounds and images that are stored in a circle (such as a drawn circle on paper) as long as it is intact. With this spell it is possible to create a whole book or gallery of fantastic images and talking pictures, but only if proper Finesse rolls are made.","Base 2, +1 Touch, +2 Ring, +1 moving images, +1 intricacy",,[MoH:124]
The Shadow of Human Life,CrIm40,Cr,,Im,Me,40,Touch,Sun,Ind,,"The human image created (as in Phantasm of the Human Form) has limited freedom and simulated intellect. It functions as an independent human, albeit a stupid one, capable of interpreting general orders in new situations.","Base 2, +1 Touch, +2 Sun, +1 intricacy, +6 Mentem requisite, for a very elaborate effect",,[ArM:144]
Horror Cabinet,CrIm35,Cr,Re,Im,,35,Touch,Moon,Room,,"Fills the room with horrible, moving images of beasts, ghosts, and undead threatening to devour any intruders.  Most will run in panic (failing a brave personality roll 12+), and some (botching such roll) may be driven insane.",Base 3 (three senses) + Touch + Moon +Room -> L25 +1 (Rego) +1 (Complexity) -> L35,,
Prying Eyes,InIm5,In,,Im,,5,Touch,Conc,Room,,"You can see inside a room, as long as you can touch one of its walls. If the room is unlit or poorly lit, you can only see as much as you could if you were inside, but magical enhancements of your senses do apply. You may change your viewpoint within the room throughout the duration of the spell.","Base 1, +1 Touch, +1 Concentration, +2 Room",,[ArM5:144]
Brushstrokes Revealed,InIm10,In,,Im,,10,Touch,Ring,Circle,,"This spell makes the species cast by an object within the circle more vivid, so that the magus can see tiny details that are otherwise invisible. This spell has traditionally been used to investigate the physical construction of artworks, but nature-oriented Jerbiton magi have recently begun using it to investigate the handiwork of God, by examining the tiny structures of creation.","Base 3, +1 Touch, +2 Ring",,[HoH:S:65]
Palm of Seeing (Sun duration),InIm20,In,,Im,,20,Touch,Diam,Vision,,"The caster can see from the perspective of the target. This spell must Penetrate in order to sense creatures with Magic Resistance.  Ariane has learned this spell to cast down an Intangible Tunnel.","Base 1, +1 Touch, +1 Diameter, +4 Vision",,[TtA:80]
Eyes of the Eagle (touch),InIm30,In,,Im,,30,Touch,Sun,Vision,,"You see distant things clearly. No matter how far away something is, you can make out details as if it were only a foot or so from you. Things do not all appear to be a foot away; you can simply make out details as well as if they were. You can still judge distance accurately; in fact, more accurately than normal, to within an inch or so at a distance of several miles, since you can see as clearly as if you were judging distance a foot away.","Base 3, +2 Sun, +4 Vision",,Custom variant [ArM5:145]
Aura of Ennobled Presence,MuIm10,Mu,,Im,,10,Touch,Sun,Ind,,"The target appears more forceful, authoritative, and believable.  Numerous subtle changes in appearance bring about this change, including a slight supernatural illumination of the face, a more erect posture, and a louder and smoother voice. The character gets a +3 on rolls to influence, lead, or convince others.","Base 3, +1 Touch, +2 Sun",,[ArM5:145]
Aura of the Trustful Merchant,MuIm10,Mu,,Im,,10,Touch,Sun,Ind,,,,,Custom
Ogre's Stench,MuIm25,Mu,,Im,,25,Touch,Sun,Group,,"You change the targets’ smell (up to 100 people) in such a disgusting and awful way that they and every person near them must make Stamina rolls against an Ease Factor of 6 or act with a –3 penalty to all rolls. If they botch, they throw up.","Base 1, +2 Voice, +2 Sun, +2 Group, +1 size, +2 very “detailed” smell)cw",,[MoH:125]
Sight of the Warm Surface,MuIm15,Mu,,Im,,15,Touch,Conc,Vision,,,,,
Disguise of the Transformed Image,MuIm15,Mu,,Im,,15,Touch,Sun,Vision,,,,,
Circle of Undisturbed Rest,ReIm10,Re,,Im,,10,,,,,,,covers smell as well as hearing and sight,[MoH:30]
Willful Sidestep,ReIm20,Re,,Im,,20,Touch,Sun,Ind,,,,Experimental research,Custom
Image from the Wizard Torn,ReIm30,Re,In,Im,,30,Per,Conc,Ind,,"Your image separates from your body and moves as you do. It can speak whatever you say and do so in your voice, and you can see through its eyes. You must make an Int + Concentration stress roll for each solid object the image passes through and for each mile it travels. If you wish the image to be able to leave your sight, you must use an Arcane Connection to yourself (for example, a fingernail or a lock of hair) when you cast the spell. That connection becomes an integral part of the image, and when the spell ends, it falls to the ground wherever the image was located. As your image is away from your body, you are invisible and silent at your actual location.  The image is your image, so while you may move it in space you may not have it sit down if you are standing. Further, it appears as if illuminated by whatever light is falling on you, no matter what the level of illumination is at the image.","Base 15, +1 Concentration, +1 additional sense, +1 Intellego requisite",,[ArM:147]
Confusion of the Insane Vibrations,ReIm35,Re,,Im,,35,,Sun,,,,,,
By His Works,CrMe5,Cr,,Me,,5,Per,Conc,Ind,,,,,[HoH:TL:73]
Gift of Perception,CrMe40,Cr,,Me,,40,Touch,Mom,Ind,Ritual,"Permanently increases the target’s Perception by 1 point, to no higher than +1.","Base 35, +1 Touch",Exaggerated sigil,Custom
Gift of Communication,CrMe40,Cr,,Me,,40,Touch,Mom,Ind,Ritual,"Permanently increases the target’s Communication by 1 point, to no higher than +1.","Base 35, +1 Touch",Exaggerated sigil,Custom
Communication of the Heroes,CrMe60,Cr,,Me,,60,Touch,Mom,Ind,Ritual,,,,[HoH:TL:103]
Sight of Conflicting Motives,InMe15,In,,Me,,15,Eye,Mom,Ind,,"You can detect the conflicting motives behind one target’s actions.  Thus you might learn that a guard feels conflict between fear and duty. This spell is often used before application of a Muto or Rego spell, since it is usually easier to change a target’s emotions after you’ve sensed them than it is to create emotions.","Base 10, +1 Eye",,[ArM5:149]
Posing the Silent Question,InMe20,In,,Me,,20,Eye,Mom,Ind,,"You can ask one silent mental question of the target, then detect the answer. The truth of the answer is limited by the knowledge of the target. Questions to the effect of “What would you do if . . . ?” often receive inaccurate replies. You are likely to get what the target thinks he would do, not necessarily what he would really do. The target of this spell does not notice the questioning unless he or she makes a Magic Resistance roll.","Base 15, +1 Eye",,[ArM5:139]
Trust of the Childlike Faith,PeMe10,Pe,,Me,,10,Touch,Diam,Ind,,"The target loses judgment and believes almost any passable lie for the duration of the spell. An Intelligence stress roll of 6+ is allowed to resist. Truly incredible lies allow easier resistance rolls.","Base 4, +1 Eye, +1 Diam",,Custom variant [ArM5:150]
Arrow of Peaceful Slumber,ReMe15,Re,,Me,,15,Touch,Mom,Group,,"Everyone in the group falls asleep over a few seconds, with the smell of lilacs in their nostrils.","Base 4, +1 Voice, +2 Group",,Custom
Touch of Slumber,ReMe5,Re,,Me,,5,Touch,Mom,Ind,,"The target becomes sleepy and falls asleep within a few seconds.","Base 4, +1 Touch",,Custom 
Stone Tell of the Mind that Sits,InTe30,In,,Te,,30,Touch,Conc,Ind,,,Base 20,,
Miner's Keen Eye (touch),InTe25,In,,Te,,25,Touch,Conc,Vision,,"The target can see any one type of mineral (gold, diamond, sand), specified at the time of casting, through up to 3 paces of intervening material. You have a good idea of how much is there and how pure it is, if appropriate.","Base 2, +1 Concentration, +4 Vision, +1 see through intervening material",,Custom [ArM5:153]
Obliteration of the Metallic Barrier,PeTe20,Pe,,Te,,20,Touch,Mom,Ind,,,,,
End of the Mighty Castle,PeTe20,Pe,,Te,,20,Touch,Mom,Str,,,,,
Arrow of Gaping Earth,PeTe15,Pe,,Te,,15,Touch,Mom,Part,,,,"opens a pit in front of the caster, 15 paces wide, 14 feet deep - size +2)",
Sense the Nature of Vis,,In,,Vi,,5,,,,,,,,
Spot the Presence of Vis,,In,,Vi,,5,Per,Mom,Vision,,,Base 1 +4 Vision,,Custom
Scales of Magical Weight,,In,,Vi,,5,,,,,,,,
Piercing the Faerie Veil,,In,,Vi,,20,Per,Conc,Vision,,,,,
Piercing the Magical Veil,,In,,Vi,,20,Per,Conc,Vision,,,,,
Sense of the Lingering Magic,,In,,Vi,,30,,,,,,"Base 10; Per, Hearing (+3); D: Conc (+1);",This spell detects the presence of many magical residues even weak spells ,[ArM5:158]
Wizard's Communion,,Mu,,Vi,,10,Voice,,,,,,,
Fist of Fey Oblivion,,Pe,,Vi,,5,Touch,Mom,Ind,,,,,
Fist of Magic Oblivion,,Pe,,Vi,,5,Touch,Mom,Ind,,,,,
Fist of Demon's Oblivion,,Pe,,Vi,,5,Touch,Mom,Ind,,,,,
Fist of Demon's Oblivion,,Pe,,Vi,,15,Touch,Mom,Ind,,,,,
Break the Shield,,Pe,,Vi,,10,Touch,Mom,Ind,,,,,
Circle of Fey Oblivion,,Pe,,Vi,,10,Touch,Mom,Ind,,,,,
Circle of Demon's Oblivion,,Pe,,Vi,,5,Touch,Mom,Circle,,,,,
Circle of Demon's Oblivion,,Pe,,Vi,,15,Touch,Mom,Circle,,,,,
Tearing the Fabric of Imaginem,,Pe,,Vi,,13,Touch,Mom,Ind,,,, like UNRAVELLING THE FABRIC OF (Form) at shorter range cancels spells up to level 28+simple die,
The Minute of Reckoning,ReVi5,Re,,Vi,,5,Arc,Diam,Ind,,"This spells opens a magical tunnel between the caster and the target.  Spells cast through this tunnel can be up to the level of this spell.  Unlike the Opening the Intangible Tunnel spell, the caster does not need to maintain concentration on this spell; this spell has duration of Diameter. This has advantages (the caster doesn’t need to maintain concentration) and disadvantages (the tunnel cannot be swiftly closed by ceasing to concentrate).  Note that, despite the name of this spell, a Diameter duration spell actually lasts for two minutes.","Base effect, +4 Arcane Connection, +1 Diameter",,[HP:80]
Opening the Intangible Tunnel,,Re,,Vi,,20,Arc,Conc,Ind,,,,,
Watching Ward,,Re,,Vi,,20,,,,,,,,
Maintaining the Demanding Spell,,Re,,Vi,,21,Touch,Diam,Ind,,,,,[ArM5:162]
Circular Ward Against Demons,,Re,,Vi,,25,Touch,Ring,Circle,,"All creatures with Infernal Might equal to or less than the level of the spell are unable to enter the circle or harm those within it.  If you cast the spell again, the stronger ring dispels the weaker, regardless of the order of casting. Some magi cast this spell before going to sleep at night. At night, from certain angles, the ring may be seen as a silver-hued dome.","Base Spell",,[ArM5:162]
Aegis of the Hearth,,Re,,Vi,,30,Touch,Year,Boundary,Ritual,,,,[ArM5:161]
Watching Ward,,Re,,Vi,,30,Touch,Spec,Ind,Ritual,,,,[ArM5:162]
